ts,stock_code,price,volume,ma5,rsi14,disparity,stoch_k,stoch_d,vol_ratio,z_vol,obv_delta,spread,bid_ask_imbalance,accel_delta,ret_1s,ask1,ask2,ask3,ask4,ask5,bid1,bid2,bid3,bid4,bid5,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,z_vol_1s,mid_price,ticks_per_sec,inter_trade_time,microprice,microprice_slope,up_tape_ratio,imbalance_1s,spread_narrowing,OFI_1s,accel_1s
1756688048658,23790,1515.0,7043306,1516.6,46.15384615260355,99.89450085718056,13.533834586466163,13.868003341687553,1.0000426096476789,1.3261829630744078,0.0,4.0,0.4537192059315953,2.516885879298422,0.0,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,48,282,58,444,310,334,154,1387,1099,65,1.8646805732302631,1517.0,6,0.0009999275207519,1518.497382198953,0.0,0.4,0.455251182509498,-0.0,0.0,0.0
1756688048847,23790,1519.0,7043307,1516.6,53.84615384470414,100.1582487142292,14.536340852130325,13.868003341687553,1.0000379310646668,1.3246635571724668,7043307.0,4.0,0.411340206185567,8.077609589193106,0.0026367846523034,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,48,282,58,444,310,33,154,1387,1099,65,1.720914324286042,1517.0,6,0.1889998912811279,1516.6296296296296,-1.8677525693233288,0.5,0.4507871170036527,-0.0,-0.0,0.0
1756688048994,23790,1519.0,7043307,1517.4,49.99999999854167,100.10544352181364,14.536340852130325,14.20217209690894,1.00003542495571,1.3231082631474236,0.0,4.0,0.4117040474349059,2.0828981410066025,0.0,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,47,282,58,444,310,33,154,1387,1099,65,1.597555346766891,1517.0,6,0.1470000743865966,1516.65,0.0203703703705286,0.4,0.4463376079127727,-0.0,0.0,0.0
1756688049048,23790,1515.0,7043308,1516.6,49.99999999854167,99.89450085718056,13.533834586466163,14.20217209690894,1.0000330608427483,1.32160900282213,-7043308.0,4.0,0.4117040474349059,-4.512120555026721,-0.0026367846523033,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,47,282,58,444,310,33,154,1387,1099,65,1.4966031779012237,1517.0,6,0.0540001392364501,1516.65,0.0,0.4,0.4418880988218928,-0.0,0.0,0.0
1756688049250,23790,1519.0,7043309,1517.4,49.99999999854167,100.10544352181364,14.536340852130325,14.20217209690894,1.000030945219713,1.3201240528847693,7043309.0,4.0,0.4115523465703971,6.216515611481295,0.0026367846523034,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,47,282,58,444,310,32,154,1387,1099,65,1.410641957235789,1517.0,6,0.2019999027252197,1516.620253164557,-0.0297468354431202,0.4,0.4374015710268254,-0.0,-0.0,0.0
1756688049394,23790,1519.0,7043355,1518.2,54.545454543719,100.0526939797128,14.536340852130325,14.20217209690894,1.0000348993595043,1.320918606883655,0.0,4.0,0.4119164302295589,0.8833528355513569,0.0,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,46,282,58,444,310,32,154,1387,1099,65,1.5024297214928153,1517.0,6,0.1440000534057617,1516.6410256410256,0.0207724764686645,0.4,0.4329165673431944,-0.0,0.0,0.3582447797018508
1756688049457,23790,1519.0,7043356,1518.2,49.99999999825,100.0526939797128,14.536340852130325,14.536340852130325,1.000032464271713,1.3194583096671892,0.0,4.0,0.4119164302295589,0.6183469848859497,0.0,1519.0,1520.0,1521.0,1522.0,1524.0,1515.0,1514.0,1513.0,1512.0,1511.0,46,282,58,444,310,32,154,1387,1099,65,1.4293261058516755,1517.0,6,0.0629999637603759,1516.6410256410256,0.0,0.3,0.4284445783584837,-0.0,0.0,-0.0282117764015208
1756688049658,23790,1520.0,7043357,1518.4,56.756756754609206,100.10537407797682,14.786967418546364,14.61988304093567,1.000030029196472,1.3180126103062408,7043357.0,1.0,0.1432619089782185,1.569206525783801,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,282,58,444,310,1325,556,32,154,1387,1099,1.3718297541732818,1519.5,6,0.2009999752044677,1519.6634844868736,3.02245884584795,0.4,0.3974205421465758,3.0,288.0,0.0
1756688049839,23790,1519.0,7043358,1519.2,49.99999999794118,99.98683517640865,14.536340852130325,14.61988304093567,1.000027594133781,1.3165768971090122,-7043358.0,1.0,0.1434643995749203,-0.4722360602235904,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,281,58,444,310,1325,556,32,154,1387,1099,1.331710648357176,1519.5,6,0.1809999942779541,1519.6642771804063,0.0007926935327304,0.3,0.3664298228501224,-0.0,288.0,-0.33003300330033
1756688050047,23790,1520.0,7043359,1519.4,58.06451612640999,100.03948927208108,14.786967418546364,14.70342522974102,1.0000251590836404,1.3151559231636012,7043359.0,1.0,0.1433126660761736,1.211851210285646,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,281,58,444,310,1325,555,32,154,1387,1099,1.2959488354099382,1519.5,6,0.2079999446868896,1519.6638755980862,-0.000401582320137,0.4,0.3353891688645801,-0.0,288.0,0.330363366666997
1756688050242,23790,1519.0,7043360,1519.4,49.9999999975,99.9736738186126,14.536340852130325,14.61988304093567,1.0000227240460495,1.3137497846306032,-7043360.0,1.0,0.1435152374202693,-0.6405378996983107,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,280,58,444,310,1325,555,32,154,1387,1099,1.268854100119214,1519.5,6,0.1950001716613769,1519.6646706586826,0.0007950605963742,0.4,0.3043687720134476,-0.0,288.0,-0.330363366666997
1756688050445,23790,1520.0,7043361,1519.6,59.99999999664,100.02632271650435,14.786967418546364,14.70342522974102,1.0000202890210088,1.3123585806046234,7043361.0,1.0,0.1508870542771825,1.0591611586533936,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,280,58,444,310,1325,554,82,154,1387,1099,1.269593533054008,1519.5,6,0.2029998302459716,1519.6642685851318,-0.000402073550731,0.4,0.2783234568226091,-0.0,288.0,0.066632373205257
1756688050553,23790,1519.0,7043362,1519.4,49.999999996818175,99.9736738186126,14.536340852130325,14.61988304093567,1.0000178540085178,1.310982413178994,-7043362.0,1.0,0.1508870542771825,-1.187847639103396,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,280,58,444,310,1325,554,82,154,1387,1099,1.1911838854006718,1519.5,6,0.1080000400543212,1519.6642685851318,0.0,0.4,0.2522417575068368,-0.0,288.0,-0.1401401650311905
1756688050799,23790,1520.0,7043363,1519.6,63.15789473218837,100.02632271650435,14.786967418546364,14.70342522974102,1.0000154190085764,1.3096182461830506,7043363.0,1.0,0.1815718157181571,0.863421906864911,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,279,58,444,310,1325,701,82,219,1387,1099,1.1200467869052064,1519.5,6,0.246000051498413,1519.715306122449,0.0510375373171427,0.5,0.2292285343351618,-0.0,288.0,0.1420836092496771
1756688050977,23790,1519.0,7043364,1519.4,59.9999999958,99.9736738186126,14.536340852130325,14.61988304093567,1.0000129840211849,1.3081726272802034,-7043364.0,1.0,0.1817719803489751,-0.8106990048172039,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,278,58,444,310,1325,701,82,219,1387,1099,1.052919174608349,1519.5,6,0.1779999732971191,1519.7160367722165,0.0007306497675472,0.4,0.2062504977130197,-0.0,288.0,-0.1393171869766581
1756688051221,23790,1520.0,7043365,1519.6,52.94117646622838,100.02632271650435,14.786967418546364,14.70342522974102,1.000010549046343,1.306741401178456,7043365.0,1.0,0.1816333446289393,0.8543116444952559,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,278,58,444,310,1325,700,82,219,1387,1099,0.9907717933447228,1519.5,5,0.24399995803833,1519.7157464212678,-0.0002903509487168,0.5,0.1832221891529577,-0.0,288.0,0.1379862977723158
1756688051248,23790,1520.0,7043614,1519.6,52.94117646622838,100.02632271650435,14.786967418546364,14.70342522974102,1.0000415641981402,1.3180189036769094,0.0,1.0,0.1816333446289393,-0.5089929189640219,0.0,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,278,58,444,310,1325,700,82,219,1387,1099,2.1572001255814373,1519.5,5,0.0269999504089355,1519.7157464212678,0.0,0.5,0.1601938805928958,-0.0,288.0,-0.0672449282194013
1756688051402,23790,1519.0,7043615,1519.6,64.28571427928571,99.96051592524348,14.536340852130325,14.703425229741017,1.000037368572162,1.316399823308588,-7043615.0,1.0,0.2202413110030614,-2.013753606810727,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,28,58,444,310,1325,700,558,219,1387,524,1.955520959855068,1519.5,5,0.1540000438690185,1519.9615384615386,0.2457920402707714,0.4,0.16789182079538,-0.0,0.0,-0.0687455315404498
1756688051650,23790,1520.0,7043616,1519.6,54.54545453851239,100.02632271650435,14.786967418546364,14.70342522974102,1.00003317298258,1.3147938670575932,7043616.0,1.0,0.2201008645533141,0.0829097886653269,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,28,58,444,310,1325,699,558,219,1387,524,1.7937120661438417,1519.5,5,0.2480001449584961,1519.961485557084,-5.290445460559568e-05,0.5,0.1755554672932194,-0.0,-0.0,0.0687455315404498
1756688051850,23790,1519.0,7043617,1519.6,49.99999999416666,99.96051592524348,14.536340852130325,14.61988304093567,1.0000311000459656,1.313201093555329,-7043617.0,1.0,0.2203206629436137,-1.2812488622199854,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,27,58,444,310,1325,699,558,219,1387,524,1.6601231392451197,1519.5,5,0.1999998092651367,1519.9628099173551,0.0013243602713828,0.4,0.1832562669799634,-0.0,0.0,0.0
1756688052054,23790,1520.0,7043618,1519.6,53.84615384035504,100.02632271650435,14.786967418546364,14.70342522974102,1.000029027118534,1.3116215635373516,7043618.0,1.0,0.2201801801801801,0.5882743112974954,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,27,58,444,310,1325,698,558,219,1387,524,1.5475984540032586,1519.5,6,0.2039999961853027,1519.9627586206896,-5.129666578795877e-05,0.5,0.1909227612559545,-0.0,-0.0,0.0
1756688052252,23790,1519.0,7043619,1519.4,46.153846148875736,99.9736738186126,14.536340852130325,14.61988304093567,1.0000269542002846,1.3100553398831267,-7043619.0,1.0,0.2342007434944238,-1.0807452955245889,-0.0006581112445491,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,26,58,444,310,1325,698,658,219,1387,524,1.4515670989365652,1519.5,6,0.1980001926422119,1519.96408839779,0.001329777100409,0.4,0.1992541301776786,-0.0,0.0,0.0
1756688052439,23790,1520.0,7043620,1519.6,53.84615384035504,100.02632271650435,14.786967418546364,14.70342522974102,1.000024874192242,1.3084750695619325,7043620.0,1.0,0.2340651558073654,0.8019198515743461,0.0006581112445493,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,26,58,444,310,1325,697,658,219,1387,524,1.3690978666798042,1519.5,6,0.1869997978210449,1519.9640387275242,-4.9670265752865816e-05,0.5,0.2075719403306969,-0.0,-0.0,0.0
1756688052440,23790,1520.0,7043645,1519.6,49.99999999416666,100.02632271650435,14.786967418546364,14.70342522974102,1.0000260312342295,1.308148656683764,0.0,1.0,0.2340651558073654,-1.0344007847490215,0.0,1520.0,1521.0,1522.0,1524.0,1525.0,1519.0,1515.0,1514.0,1513.0,1512.0,26,58,444,310,1325,697,658,219,1387,524,1.4054398571496298,1519.5,6,0.001000165939331,1519.9640387275242,0.0,0.4,0.2128212743396177,-0.0,0.0,0.0
